seq_id,study_label,arm_id,outcome_id,outcome_name,control_arm,gt_delta,llm_effect,llm_treat_mean,llm_ctrl_mean,llm_treat_var,llm_ctrl_var,one_sided,gt_treatment_mean,gt_control_mean,gt_n_treatment,gt_n_control,metric,scale_type,scale_min,scale_max,comparable,note
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,modified_matrix_low,"Wave 2 modified matrix puzzle reported matrices solved, low incentive",controlgroup,-2.473,-0.1,8.68,8.78,3.4976,3.6916,False,5.408,7.881,76,101,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,sender_receiver_high,"Wave 1 sender-receiver dishonest message rate, high incentive",controlgroup,0.134,0.0,0.0,0.0,0.0,0.0,True,0.634,0.5,205,284,proportion,binary,0,1,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,sender_receiver_low,"Wave 1 sender-receiver dishonest message rate, low incentive",controlgroup,0.182,0.0,0.0,0.0,0.0,0.0,True,0.576,0.394,205,284,proportion,binary,0,1,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,matrix_puzzle_high,"Wave 1 matrix puzzle reported matrices solved, high incentive",controlgroup,-0.972,-0.44,7.54,7.98,1.8484,1.3796,False,4.827,5.799,208,284,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,matrix_puzzle_low,"Wave 1 matrix puzzle reported matrices solved, low incentive",controlgroup,-0.924,-0.58,6.9,7.48,5.61,1.4496,False,4.822,5.746,208,284,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,modified_matrix_high,"Wave 2 modified matrix puzzle reported matrices solved, high incentive",controlgroup,-1.703,0.2935,9.62,9.3265,6.4356,7.321949,False,5.356,7.059,104,101,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,modified_matrix_low,"Wave 2 modified matrix puzzle reported matrices solved, low incentive",controlgroup,-2.169,-0.62,8.16,8.78,1.4544,3.6916,False,5.712,7.881,104,101,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,sender_receiver_high,"Wave 1 sender-receiver dishonest message rate, high incentive",controlgroup,0.043,1.0,1.0,0.0,0.0,0.0,True,0.543,0.5,208,284,proportion,binary,0,1,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,low_dishonesty_treatment,sender_receiver_low,"Wave 1 sender-receiver dishonest message rate, low incentive",controlgroup,0.12,1.0,1.0,0.0,0.0,0.0,True,0.514,0.394,208,284,proportion,binary,0,1,True,
152,Statistical Fairness Discrimination,less_justifiable_black,fairness_evaluation,Fairness Evaluation,more_justifiable,-0.898,-1.92,1.0,2.92,0.0,0.0736,False,,,,,mean,likert,1,7,True,
152,Statistical Fairness Discrimination,less_justifiable_white,fairness_evaluation,Fairness Evaluation,more_justifiable,-0.953,-1.92,1.0,2.92,0.0,0.0736,False,,,,,mean,likert,1,7,True,
159,The Ability to Distill the Truth,score_revelation,belief_update_points,Belief updating between mid-task and posterior beliefs,control,-0.287,0.5,0.52,0.02,0.7296,0.0196,False,-0.487,-0.2,,,mean,continuous,-10,10,True,
159,The Ability to Distill the Truth,score_revelation,posterior_belief_error,Absolute error in posterior beliefs about news-accuracy detection ability,control,-0.203,-1.4,0.0,1.4,0.0,0.96,False,1.887,2.09,,,mean,continuous,0,10,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,bonus_large,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.023,-0.08,0.92,1.0,0.0736,0.0,False,0.458,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,community_income_high,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.06,-1.0,0.0,1.0,0.0,0.0,True,0.495,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,community_multiracial,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.107,-1.0,0.0,1.0,0.0,0.0,True,0.542,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,goal_eval_attendance,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.072,-0.5,0.5,1.0,0.25,0.0,False,0.363,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,goal_eval_changes,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.082,-0.08,0.92,1.0,0.0736,0.0,False,0.353,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,overtime_frequent,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.198,0.0,1.0,1.0,0.0,0.0,True,0.237,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,pay_about_average,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.175,-1.0,0.0,1.0,0.0,0.0,True,0.61,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,pay_above_average,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,0.253,-1.0,0.0,1.0,0.0,0.0,True,0.688,0.435,9006,9006,proportion,binary,0,1,True,
162,Which Job Attributes Attract Individuals High in Public Service Motivation and Self-Efficacy to a Public Service Job?,task_direct_interaction,profile_chosen_probability,Probability that the job profile is chosen,baseline_job_profile,-0.051,-1.0,0.0,1.0,0.0,0.0,True,0.384,0.435,9006,9006,proportion,binary,0,1,True,
169,Preferences for Giving Versus Preferences for Redistribution,giving_to_many_large,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.357,0.0,1.0,1.0,0.0,0.0,True,,,,,coefficient,binary,0,1,True,
169,Preferences for Giving Versus Preferences for Redistribution,giving_to_many_small,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.174,0.0,1.0,1.0,0.0,0.0,True,,,,,coefficient,binary,0,1,True,
169,Preferences for Giving Versus Preferences for Redistribution,giving_to_one_small,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.078,0.0,1.0,1.0,0.0,0.0,True,,,,,coefficient,binary,0,1,True,
169,Preferences for Giving Versus Preferences for Redistribution,vote_redistribution_large,prosocial_choice,Prosocial Choice,vote_redistribution_small,-0.019,0.0,1.0,1.0,0.0,0.0,True,,,,,coefficient,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,aap_in_person_schooling,agree_to_be_vaccinated,Agree to be vaccinated in spring 2021 with COVID vaccine,record_high_cases,-0.032,0.0,1.0,1.0,0.0,0.0,True,0.518,0.55,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,aap_in_person_schooling,likely_eat_at_restaurant,Likely to eat at a restaurant,record_high_cases,0.115,1.0,1.0,0.0,0.0,0.0,True,0.51,0.395,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,aap_in_person_schooling,support_k12_in_person_schooling,Support providing in-person schooling for K-12 students,record_high_cases,0.157,1.0,1.0,0.0,0.0,0.0,True,0.662,0.505,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,high_hospitalizations,agree_to_be_vaccinated,Agree to be vaccinated in spring 2021 with COVID vaccine,record_high_cases,-0.037,0.0,1.0,1.0,0.0,0.0,True,0.513,0.55,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,high_hospitalizations,likely_eat_at_restaurant,Likely to eat at a restaurant,record_high_cases,0.043,0.0,0.0,0.0,0.0,0.0,True,0.438,0.395,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,high_hospitalizations,support_k12_in_person_schooling,Support providing in-person schooling for K-12 students,record_high_cases,0.056,0.0,0.0,0.0,0.0,0.0,True,0.561,0.505,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,jobless_rate,agree_to_be_vaccinated,Agree to be vaccinated in spring 2021 with COVID vaccine,record_high_cases,0.005,0.0,1.0,1.0,0.0,0.0,True,0.555,0.55,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,jobless_rate,likely_eat_at_restaurant,Likely to eat at a restaurant,record_high_cases,0.075,1.0,1.0,0.0,0.0,0.0,True,0.47,0.395,,,proportion,binary,0,1,True,
174,COVID-19 Information Treatments Shift Related Policy Preferences and Plans for Consumer Behavior,jobless_rate,support_k12_in_person_schooling,Support providing in-person schooling for K-12 students,record_high_cases,0.109,1.0,1.0,0.0,0.0,0.0,True,0.614,0.505,,,proportion,binary,0,1,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_left,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,-1.223,-10.78,0.0,10.78,0.0,52.8516,False,26.967,28.19,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_left,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,0.042,-0.04,0.0,0.04,0.0,0.0384,False,23.032,22.99,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_left,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,6.127,-13.26,0.0,13.26,0.0,56.5924,False,27.097,20.97,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_moderate,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,1.699,-9.72,1.06,10.78,13.6164,52.8516,False,29.889,28.19,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_moderate,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,3.28,-0.04,0.0,0.04,0.0,0.0384,False,26.27,22.99,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_moderate,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,3.764,-9.5503,3.7097,13.26,48.657648,56.5924,False,24.734,20.97,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_right,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,1.129,-10.78,0.0,10.78,0.0,52.8516,False,29.319,28.19,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_right,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,-1.013,-0.04,0.0,0.04,0.0,0.0384,False,21.977,22.99,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,incentive_right,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,2.533,-13.26,0.0,13.26,0.0,56.5924,False,23.503,20.97,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_left,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,-2.462,-10.72,0.06,10.78,0.0564,52.8516,False,25.728,28.19,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_left,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,0.776,3.5509,3.5909,0.04,38.832645,0.0384,False,23.766,22.99,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_left,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,6.096,3.7,16.96,13.26,30.4784,56.5924,False,27.066,20.97,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_right,prediction_error_left_targets,Prediction error for Left respondents,no_incentive_moderate,-0.773,-2.5191,8.2609,10.78,82.192817,52.8516,False,27.417,28.19,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_right,prediction_error_moderate_targets,Prediction error for moderate respondents,no_incentive_moderate,-0.382,3.1213,3.1613,0.04,45.103018,0.0384,False,22.608,22.99,,,mean,continuous,0,100,True,
176,A Word is Worth A Thousand Words: Biased Beliefs about Political Language Use,no_incentive_right,prediction_error_right_targets,Prediction error for Right respondents,no_incentive_moderate,3.758,-13.26,0.0,13.26,0.0,56.5924,False,24.728,20.97,,,mean,continuous,0,100,True,
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,durable_goods,Durable Goods,low_inflation,0.1,,,,,,False,,,,,coefficient,categorical,,,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,interest_expectation,Interest Expectation,low_inflation,0.172,3.06,6.86,3.8,0.2004,0.43,False,,,,,coefficient,continuous,0,5,True,
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,invest_funds,Invest Funds,low_inflation,-37.23,-31.92,170.38,202.3,93970.8456,61274.86,False,,,,,coefficient,continuous,0,1000,True,
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,non_durable_goods,Non-Durable Goods,low_inflation,0.132,,,,,,False,,,,,coefficient,categorical,,,False,llm control mean missing
178,"Attention, expectation updating, and subjective models of the macroeconomy",high_inflation,unemp_expectation,Unemployment Expectation,low_inflation,1.044,2.544,6.58,4.036,0.2436,0.021904,False,,,,,coefficient,continuous,0,25,True,
183,Do people trust humans more than ChatGPT?,ai_written_informed,high_trust_accuracy,High trust that the paragraph had no factual errors,human_written_informed,0.0,0.0,1.0,1.0,0.0,0.0,True,0.2,0.2,148,164,proportion,binary,0,1,True,
