rct_id,title,source_url,final_url,initial_family,final_family,navigation_ok,status,login_likely,js_required,candidate_count,filelike_link_count,network_hint_count,probe_outcomes
"AEARCTR-0001118","Effects of Quality Improvement Strategies on Early Child Development in Community-based Childcare Centers in Malawi: A Cluster-Randomized Trial","https://drive.google.com/file/d/1J1ae3C3wEVBhuSpKVseqzvSPI9Qa2BI1/view","https://drive.google.com/file/d/1J1ae3C3wEVBhuSpKVseqzvSPI9Qa2BI1/view","google_drive","google_drive","true","200","true","false","4","0","2","download|click_no_observable_effect|click_no_observable_effect"
"AEARCTR-0001132","Small individual loans and mental health: a randomized controlled trial among South African adults","http://www.dartmouth.edu/~jzinman/Papers/KZexpandaccess_rsa_public.dta","http://www.dartmouth.edu/~jzinman/Papers/KZexpandaccess_rsa_public.dta","direct_file","direct_file","true","404","false","false","1","5","1","click_no_observable_effect"
"AEARCTR-0001167","Free distribution or cost-sharing? Evidence from a randomized malaria prevention experiment.","http://web.stanford.edu/~pdupas/CohenDupas_QJE2010_data&amp;code.zip","http://web.stanford.edu/~pdupas/CohenDupas_QJE2010_data&amp;code.zip","direct_file","direct_file","true","404","false","false","1","1","1","error"
"AEARCTR-0001452","Impact of Rainfall Insurance on Farmer Behavior in India","https://94f88122fb57bdb66436edca44e200e62c8f2fca.googledrive.com/host/0B1pYd9GqkTWjd0stNEp5djVEVHc/RF_Investment.zip","https://94f88122fb57bdb66436edca44e200e62c8f2fca.googledrive.com/host/0B1pYd9GqkTWjd0stNEp5djVEVHc/RF_Investment.zip","google_drive","google_drive","true","404","false","false","0","0","1",""
"AEARCTR-0001596","Intergenerational Conflict and Schooling Decisions in Brazil","http://www.journals.uchicago.edu/doi/suppl/10.1086/666746/suppl_file/2011123data.zip","about:blank","direct_file","direct_file","false","","false","false","0","0","3",""
"AEARCTR-0001600","The Effect of Information and Subsidies on Chlorine Usage in Zambia","http://dx.doi.org/10.1016/j.jebo.2012.12.031","https://www.sciencedirect.com/science/article/pii/S0167268112003034?via%3Dihub","doi_resolver","other","true","200","false","false","8","6","6","locator_not_found|locator_not_found|locator_not_found"
"AEARCTR-0001674","Employment Retention and Advancement Project--Texas Site","http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/33181","https://www.icpsr.umich.edu/web/ICPSR/studies/33181","openicpsr_icpsr","openicpsr_icpsr","true","200","true","false","8","0","0","navigation|navigation|click_no_observable_effect"
"AEARCTR-0001866","Preferences of Low-Income Voters on Public Education Spending in Brazil","http://onlinelibrary.wiley.com/store/10.1111/jeea.12174/asset/supinfo/jeea12174-sup-0001-SuppMat.zip?v=1&amp;s=837f964330d9ef426e60097bfc162dc2024030af","https://onlinelibrary.wiley.com/store/10.1111/jeea.12174/asset/supinfo/jeea12174-sup-0001-SuppMat.zip?v=1&amp;s=837f964330d9ef426e60097bfc162dc2024030af","direct_file","direct_file","true","404","true","false","0","10","15",""
"AEARCTR-0001930","Conditional Subsidies for School Attendance (“Subsidios
Condicionados a la Asistencia Escolar”) in Bogota, Colombia","https://www-aeaweb-org.ezp-prod1.hul.harvard.edu/aej/app/data/2010-0132_data.zip","https://login.harvard.edu/app/harvard_casprod1_1/exk1tpw3zcijntjVF1d8/sso/saml?SAMLRequest=fVLLcpswFN33KxjteVMbNAYPbcbTTNLGE5MsuvEIJMdKQCK6Arv5%2BgiwJ%2FXGS2nuedxz7mJ5bGqrZwq4FCnyHQ9ZTFSScvGSoqdiZcdomX1bAGnqoMV5p%2Ffikb13DLSVAzClDe6nFNA1TG2Y6nnFnh7vU7TXugXsuofDwWm58J09UT1R1GG0cysCbi1fuFhWNWdCbwVpWPpwV%2BRrJSmycq0VLzvNJmbj5UR9Kyg7psiYvDEOuCB6tH0WGzkvlEjbuqf31qi2ht7f%2Bi47vvm6PYQfFX8V%2BvV55dPYBZDusCeyVlJVbNw1RTtSA0PW7U2KtlUUBV4ck7ic7aLQp2VEksBLknjnhzEp5xEN5%2FNZYqZhTQB4z77wAJ2xD5oInaLAC2a2F9peUvhzHAb4e%2BTEcfAXWSYALStZ%2F%2BBi6qBTAksCHPAQEmBd4U3%2B%2Bx4HjofLaQjwr6JY2%2BuHTTES9Jwy9WeIFH1l%2BnzuOBg6Nq0LwFOr1zXakyGUTUeAx03UkFFD9HXs8MOpvRtHsSma638X2tfh5HxgKBvGTH9YvmkylHjucuH%2Bbyo7PS8PNfsE&RelayState=TST-917873-yqdPAjNHjSSYHPrPoZ0KfFfOGzc3FQ4Z","aea","other","true","200","true","false","0","0","2",""
"AEARCTR-0001961","Dynamic Agricultural Tablet-based Extension Services: Electronic solutions against agricultural pests intervention (eSAP)","https://reshare.ukdataservice.ac.uk/853079/","https://reshare.ukdataservice.ac.uk/853079/","uk_data_service","uk_data_service","true","200","false","false","8","7","0","navigation|navigation|navigation"
"AEARCTR-0001973","Does Corruption Information Inspire the Fight or Quash the Hope? A Field Experiment in Mexico on Voter Turnout, Choice, and Party Identification","http://campuspress.yale.edu/anadelao/files/2010/11/Replication-files-24ft7wz.zip","about:blank","direct_file","direct_file","false","","false","false","0","0","4",""
"AEARCTR-0002271","Shelter from the Storm: Upgrading Housing Infrastructure in Latin American Slums","https://www.dropbox.com/sh/5eurav73h7khtn5/AACUtB-w8cSuPeDcjVcKVApVa?dl=0","https://www.dropbox.com/scl/fo/43uzr3ilr7k6cilu1z5av/AASUaTLfh7VNcA1l_NV0Cpw?rlkey=ly2kxg4q3x33rkn1284huzlpl&e=1&dl=0","dropbox","dropbox","true","200","true","false","8","16","25","navigation|navigation|navigation"
"AEARCTR-0002793","Accelerating Science-based Growth Through Co-innovation","https://www.researchgate.net/profile/Ferran_Giones/publication/332259155_Data_from_the_Pilot_Study_-_baseline_and_follow-up_-_Project_IGL_Co-Innovation_2018/data/5caa3f9992851c64bd57aa78/IGL-Co-innovation-Anon-Data.xlsx","about:blank","direct_file","direct_file","false","","false","false","0","0","3",""
"AEARCTR-0002808","Do Management Interventions Last? Evidence from India","https://datacatalog.worldbank.org/int/search/dataset/0048381/India---Replication-Files-for--Do-Management-Interventions-Last--Evidence-from-India--2017","https://datacatalog.worldbank.org/search/dataset/0048381/india-replication-files-for-do-management-interventions-last-evidence-from-india-2017","worldbank_microdata","worldbank_microdata","true","200","false","false","8","0","1","popup|navigation|navigation"
"AEARCTR-0004479","Mindsets: The Influence of Intelligence Theories on Educational Outcomes","https://hdl.handle.net/10438.3/FK2/PGIFU0","https://hdl.handle.net/10438.3/FK2/PGIFU0","handle_resolver","handle_resolver","true","500","false","false","0","0","0",""
"AEARCTR-0007276","What Drives Poor Care for Child Diarrhea?: A Standardized Patient Experiment in India","https://datadryad.org/dataset/doi:10.5061/dryad.3tx95x6nk","https://datadryad.org/dataset/doi:10.5061/dryad.3tx95x6nk","dryad","dryad","true","200","true","false","8","0","0","error|navigation|navigation"
"AEARCTR-0008408","Public good games and attitudes towards vaccination: 
group size and safe action","https://docs.google.com/spreadsheets/d/1QvKvDcWO0DuzzrdbQZNtr4B_JnwYvqif/edit?usp=sharing&amp;ouid=117127892078828706389&amp;rtpof=true&amp;sd=true","https://docs.google.com/spreadsheets/d/1QvKvDcWO0DuzzrdbQZNtr4B_JnwYvqif/edit?amp%3Bouid=117127892078828706389&amp%3Brtpof=true&amp%3Bsd=true&gid=1265117772#gid=1265117772","google_drive","google_drive","true","200","true","false","2","0","13","click_no_observable_effect|click_no_observable_effect"
"AEARCTR-0010036","The formats of epidemiological risk information disclosure and citizens’ voluntary self-reporting for close contact: report accuracy, time consumption, and privacy concerns","https://data.mendeley.com/datasets/jbcchx2rf9/1","https://data.mendeley.com/datasets/jbcchx2rf9/1","mendeley_data","mendeley_data","true","200","true","false","8","0","6","click_no_observable_effect|click_no_observable_effect|error"
