rct_id,title,url,tier
AEARCTR-0000657,"Impact Evaluation of Nadie es Perfecto,  a Program to Improve Parenting Skills in Chile	",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RN2WDY,TIER1
AEARCTR-0000716,Enfranchising Your Own? Experimental Evidence on Bureaucrat Diversity and Election Bias in India,https://doi.org/10.3886/E113180V1,TIER2
AEARCTR-0000732,Morality-Efficiency Tradeoffs: An Experimental Study,http://doi.org/10.3886/E116212V1,TIER2
AEARCTR-0000770,Is female empowerment always good for child welfare? ,https://doi.org/10.7910/DVN/TX2N3C,TIER1
AEARCTR-0000773, Leveraging Patients' Social Networks to Overcome Tuberculosis Under-detection in India,https://www.openicpsr.org/openicpsr/project/150781/version/V1/view,TIER2
AEARCTR-0000888,Innovative approaches to addressing gender gaps in productivity and earnings,http://microdata.worldbank.org/index.php/catalog/2860,OTHER
AEARCTR-0000895,Testing an investment readiness program for start-ups,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CL6XJ9,TIER1
AEARCTR-0000924,Representations and impact of educative and prevention websites on suicide,https://figshare.com/articles/dataset/Dataset_sav/4898147,TIER1
AEARCTR-0000949,Evaluation of the DOLE Special Program for the Employment of Students (SPES),https://github.com/eabeam/spesIE,TIER1
AEARCTR-0001000,Community Driven Development in Sierra Leone,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/21708,TIER1
AEARCTR-0001014,Improving seed selection and storage to increase yields among Ugandan potato growers,https://bitbucket.org/bjvca/potseedrct/src/3685eb35fe3eddf9418b5ea3081819c11c207089/data/endlineV1.csv?at=master&amp;fileviewer=file-view-default,OTHER
AEARCTR-0001021,Inefficient Hiring in Entry-Level Labor Markets,http://www.aeaweb.org/aer/data/10411/20120270_data.zip,TIER1
AEARCTR-0001030,Teacher Training and Entrepreneurship Education: Evidence from a Curriculum Reform in Rwanda,https://doi.org/10.7910/DVN/A7UTHN,TIER1
AEARCTR-0001038,How to Promote Order and Property Rights under Weak Rule of Law? An Experiment in Changing Dispute Resolution Behavior through Community Education,http://chrisblattman.com/research/,OTHER
AEARCTR-0001042,Generating Skilled Self-Employment in Developing Countries: Experimental Evidence from Uganda,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27898&amp;studyListingIndex=0_f8c4557435d9ff6c4df4e7151052,TIER1
AEARCTR-0001046,"The impact of mentoring and life skills on secondary school progression and child labor among girls: A randomized controlled trial in Rajasthan, India",https://doi.org/10.7910/DVN/CPJUP3,TIER1
AEARCTR-0001047,"Spring Cleaning: Rural Water Impacts, Valuations and Property Rights Institutions ",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28063,TIER1
AEARCTR-0001050,"Micro-Loans, Insecticide-Treated Bednets, and Malaria: Evidence from a Randomized Controlled Trial in Orissa, India",https://www.aeaweb.org/aer/data/10407/20110888_data.zip,TIER1
AEARCTR-0001070,Understanding Mechanisms Underlying Peer Effects: Evidence from a Field Experiment on Financial Decisions,https://www.econometricsociety.org/content/supplement-understanding-mechanisms-underlying-peer-effects-evidence-field-experiment-0,TIER2
AEARCTR-0001071,Using the infrastructure of a conditional cash transfer program to deliver a scalable integrated early child development program in Colombia: cluster randomized controlled trial,http://www.data-archive.ac.uk/,OTHER
AEARCTR-0001081,Worms: Identifying Impacts on Education and Health in the Presence of Treatment Externalities,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/28038,TIER1
AEARCTR-0001084,The Illusion of Sustainability,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28058,TIER1
AEARCTR-0001098,Does Publicizing a Tax Credit for Political Contributions Increase Its Use? Results From a Randomized Field Experiment,http://isps.yale.edu/research/data/d066#.Vtk_ifl97IV,OTHER
AEARCTR-0001105,Peers and Motivation at Work,https://doi.org/10.7910/DVN/CAXO8Y,TIER1
AEARCTR-0001111,The Endowment Effect: High stakes evidence from rural Zambia,https://www.journals.uchicago.edu/doi/suppl/10.1086/720466,TIER2
AEARCTR-0001118,Effects of Quality Improvement Strategies on Early Child Development in Community-based Childcare Centers in Malawi: A Cluster-Randomized Trial,https://drive.google.com/file/d/1J1ae3C3wEVBhuSpKVseqzvSPI9Qa2BI1/view,TIER2
AEARCTR-0001125,Can Higher Prices Stimulate Product Use? Evidence from a Field Experiment in Zambia,https://www.aeaweb.org/aer/data/dec2010/20080857_data.zip,TIER1
AEARCTR-0001126,Household Bargaining and Excess Fertility: An Experimental Study in Zambia,https://www.aeaweb.org/aer/data/10407/20101434_data.zip,TIER1
AEARCTR-0001127,Who Gets the Job Referral? Evidence from a Social Networks Experiment,https://www.aeaweb.org/aer/data/dec2012/20110226_data.zip,TIER1
AEARCTR-0001128,Does the Media Matter? A Field Experiment Measuring the Effect of Newspapers on Voting Behavior and Political Opinions,https://www.aeaweb.org/articles.php?doi=10.1257/app.1.2.35,OTHER
AEARCTR-0001129,Put Your Money Where Your Butt Is: A Commitment Contract for Smoking Cessation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28273,TIER1
AEARCTR-0001132,Small individual loans and mental health: a randomized controlled trial among South African adults,http://www.dartmouth.edu/~jzinman/Papers/KZexpandaccess_rsa_public.dta,OTHER
AEARCTR-0001133,Teaching entrepreneurship: Impact of business training on microfinance clients and institutions ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27985,TIER1
AEARCTR-0001135,Does Price Matter in Charitable Giving? Evidence from a Large-Scale Natural Field Experiment,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27853&amp;versionNumber=4,TIER1
AEARCTR-0001149,Why Do Skilled Immigrants Struggle in the Labor Market? A Field Experiment with Thirteen Thousand Resumes,https://www.aeaweb.org/aej/pol/data/2009-0150_data.zip,TIER1
AEARCTR-0001161,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",https://www.aeaweb.org/aer/data/10502/20130267_data.zip,TIER1
AEARCTR-0001165,Under-investment in a Profitable Technology: The Case of Seasonal Migration in Bangladesh,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28277,TIER1
AEARCTR-0001167,Free distribution or cost-sharing? Evidence from a randomized malaria prevention experiment.,http://web.stanford.edu/~pdupas/CohenDupas_QJE2010_data&amp;code.zip,OTHER
AEARCTR-0001169,Why Don’t the Poor Save More? Evidence from Health Savings Experiments,http://www.aeaweb.org/aer/data/june2013/20110911_data.zip,TIER1
AEARCTR-0001180,The Demand for Medical Male Circumcision,https://www.aeaweb.org/articles?id=10.1257/app.6.2.152,OTHER
AEARCTR-0001183,Education as Liberation?,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/81NOQY,TIER1
AEARCTR-0001185,Experimental Evidence on the Effects of Home Computers on Academic Achievement among Schoolchildren,https://www.aeaweb.org/aej/app/data/2012-0400_data.zip,TIER1
AEARCTR-0001193,Improving immunisation coverage in rural India: clustered randomised controlled evaluation of immunization campaigns with and without incentives,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/15088&amp;studyListingIndex=2_e245865baf159b16f18584fe3f8f,TIER1
AEARCTR-0001194,Putting a Band-Aid on a corpse: Incentives for nurses in the Indian public health care system,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/RKYSWXPPAC,TIER1
AEARCTR-0001203,Can employment reduce lawlessness and rebellion? A field experiment with high-risk men in a fragile state,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/11R0LX,TIER1
AEARCTR-0001207,Private Information and the Allocation of Land Use Subsidies in Malawi,https://www.aeaweb.org/aej/app/data/2012-0207_data.zip,TIER1
AEARCTR-0001208,The Impact of Soft-Skills Training for entrepreneurs in Jamaica.,https://doi.org/10.7910/DVN/C5SDO8,TIER1
AEARCTR-0001218,Preventing intimate-partner violence: Impact Evaluation of Engaging Men through Accountable Practice in Eastern DRC,https://microdata.worldbank.org/index.php/catalog/4773,OTHER
AEARCTR-0001225,The returns to cash and microenterprise support among the ultra-poor: A field experiment,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QA0R1O,TIER1
AEARCTR-0001226,Incentives Work: Getting Teachers to Come to School,https://www.aeaweb.org/aer/data/june2012/20081207_data.zip,TIER1
AEARCTR-0001234,Behind the GATE Experiment: Evidence on Effects of and Rationales for Subsidized Entrepreneurship Training,https://www.aeaweb.org/aej/pol/data/0702/2012-0337_data.zip,TIER1
AEARCTR-0001235,Field Experiments Testing the Impact of Radio Advertisements on Electoral Competition,http://isps.yale.edu/research/data/d042#.Uv6LU_ldWBU,OTHER
AEARCTR-0001284,A 20-year Follow-Up to an Early Childhood Stimulation Program in Jamaica,http://doi.org/10.3886/E2402V5,TIER2
AEARCTR-0001291,"Turning a Shove into a Nudge? A ""Labeled Cash Transfer"" for Education",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/29014,TIER1
AEARCTR-0001298,Interest Rates and Consumer Credit in South Africa,https://www.aeaweb.org/aer/data/june08/20070848_data.zip,TIER1
AEARCTR-0001300,Household Welfare Effects of Street Paving in Mexico,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6TC8RO,TIER1
AEARCTR-0001304,"Peer Effects, Pupil-Teacher Ratios, and Teacher Incentives in Kenya",http://dvn.iq.harvard.edu/dvn/dv/mit/faces/study/StudyPage.xhtml?globalId=hdl:1902.1/16787&amp;studyListingIndex=1_8bf27802c97f7947da43a2c8dc1a,TIER1
AEARCTR-0001312,The Role of Information in Agricultural Technology Adoption: Experimental Evidence from Rice Farmers in Uganda,https://bitbucket.org/bjvca/ricerct/src/e0d5b1ddfd9647547c71cbeb33f0e4f4764534c5/endline/data/raw_final_noID.csv?at=master&amp;fileviewer=file-view-default,OTHER
AEARCTR-0001319,Marketing Effects in a Consumer Credit Market in South Africa,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II4HDS,TIER1
AEARCTR-0001323,Technology Adoption and Public Good Provision: Evidence from Hillside Irrigation in Rwanda,https://www.openicpsr.org/openicpsr/project/159061/version/V1/view,TIER2
AEARCTR-0001327,"Insurance, Credit, and Technology Adoption: Field Experimental Evidence from Malawi",http://microdata.worldbank.org/index.php/catalog/1541,OTHER
AEARCTR-0001328,Measuring Vote-Selling: Field Evidence from the Philippines,https://www.aeaweb.org/articles?id=10.1257/aer.p20151033,OTHER
AEARCTR-0001330,Credit Market Consequences of Improved Personal Identification: Field Experimental Evidence from Malawi,https://www.aeaweb.org/articles?id=10.1257/aer.102.6.2923,OTHER
AEARCTR-0001336,The Impact of Eyeglasses on the Academic Performance of Primary School Students in China,http://www.sciencedirect.com/science/article/pii/S0304387816300402#MMCvFirst,TIER2
AEARCTR-0001339,Savings in Transnational Households: A Field Experiment Among Migrants from El Salvador,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27431,TIER1
AEARCTR-0001348,Direct Democracy and Local Public Goods in Indonesia,http://econ-www.mit.edu/files/5584,OTHER
AEARCTR-0001354,Estimating the Impact on the Lender's Bottom Line and Borrowers' Household Welfare of Expanding the Supply of Consumer Credit to the Working Poor in South Africa,http://www.aeaweb.org/aer/data/june08/20070848_data.zip,TIER1
AEARCTR-0001358,Do Opposites Detract? Intrahousehold Preference Heterogeneity and Inefficient Strategic Savings,https://www.aeaweb.org/articles?id=10.1257/app.20130271,OTHER
AEARCTR-0001362,"Police Performance and Public Perception in Rajasthan, India",http://dvn.iq.harvard.edu/dvn/dv/jpal,TIER1
AEARCTR-0001378,Election Fraud and Government Legitimacy in Afghanistan,https://www.aeaweb.org/aer/data/10501/20120427_data.zip,TIER1
AEARCTR-0001428,"Business Training for Women in Ahmedabad, India",https://www.aeaweb.org/articles?id=10.1257/aer.100.2.125,OTHER
AEARCTR-0001430,Do Robotic Calls from Credible Sources Influence Voter Turnout or Vote Choice?,http://isps.yale.edu/research/data/d044#.V4qP_5MrKYV,OTHER
AEARCTR-0001432,Preventing HIV and Teen Pregnancy in Kenya: The Roles of Teacher Training and Education Subsidies,https://www.aeaweb.org/aer/data/10509/20121607_data.zip,TIER1
AEARCTR-0001439,Community Reconciliation in Sierra Leone,https://www.openicpsr.org/openicpsr/project/100193/version/V1/view,TIER2
AEARCTR-0001452,Impact of Rainfall Insurance on Farmer Behavior in India,https://94f88122fb57bdb66436edca44e200e62c8f2fca.googledrive.com/host/0B1pYd9GqkTWjd0stNEp5djVEVHc/RF_Investment.zip,OTHER
AEARCTR-0001466,The Profitability of Fertilizer in Mali,https://www.aeaweb.org/articles?id=10.1257/aer.103.3.381&amp;within%5Btitle%5D=on&amp;journal=1&amp;q=Profitability+of+Fertilizer&amp;from=j,OTHER
AEARCTR-0001469,Evidence on Performance-Based Pay from School-Based Nutrition Programs in Rural China,http://www.nber.org/data-appendix/w21302/,OTHER
AEARCTR-0001470,Moving to Opportunity or Isolation? Network Effects of a Slum Relocation Program in India,https://www.aeaweb.org/articles?id=10.1257/app.20150397&amp;&amp;from=f,OTHER
AEARCTR-0001501, Partnership Schools for Liberia (PSL) program evaluation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5OPIYU,TIER1
AEARCTR-0001584,The Impact of Women's Political Reservation on Early Childhood Development and Learning in India,http://www.younglives.org.uk/,OTHER
AEARCTR-0001589,"Cooking Stoves, Indoor Air Pollution, and Respiratory Health in India",https://www.aeaweb.org/articles?id=10.1257/pol.20140008,OTHER
AEARCTR-0001592,Savings Constraints and Microenterprise Development: Evidence from a Field Experiment in Kenya ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EXL9DX,TIER1
AEARCTR-0001596,Intergenerational Conflict and Schooling Decisions in Brazil,http://www.journals.uchicago.edu/doi/suppl/10.1086/666746/suppl_file/2011123data.zip,TIER2
AEARCTR-0001600,The Effect of Information and Subsidies on Chlorine Usage in Zambia,http://dx.doi.org/10.1016/j.jebo.2012.12.031,OTHER
AEARCTR-0001601,Teaching the Tax Code: Earnings Responses to an Experiment with EITC Recipients,https://www.aeaweb.org/articles?id=10.1257/app.5.1.1,OTHER
AEARCTR-0001608,Testing Legislator Responsiveness to Citizens and Firms in the Vietnamese National Assembly: A Field Experiment,https://doi.org/10.7910/DVN/4WNEE9;https://doi.org/10.7910/DVN/RXA4JB,TIER1
AEARCTR-0001613,The Impact of Microfinance on Social Capital and Female Empowerment in India,http://restud.oxfordjournals.org/content/80/4/1459/suppl/DC1,TIER2
AEARCTR-0001632,Impact of Female Leadership on Aspirations and Educational Attainment for Teenage Girls in India,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/17154,TIER1
AEARCTR-0001633,The Impact of Women Policy Makers on Public Goods in India,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/USBFNOMLAT&amp;studyListingIndex=1_8bf27802c97f7947da43a2c8dc1a,TIER1
AEARCTR-0001634,Perceptions of Female Leaders in India,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/PXV79W,TIER1
AEARCTR-0001636,Impact Evaluation of a Large-Scale Rural Sanitation Project in Indonesia,http://microdata.worldbank.org/index.php/catalog/1554,OTHER
AEARCTR-0001649,"Household Water Connections in Tangier, Morocco",https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/17950&amp;studyListingIndex=11_c1dcd7dc1b9b8e2b9d0e7baea04f,TIER1
AEARCTR-0001668,"Hiring Discrimination Against Maghrebi Women in the National Capital Region of Quebec, Canada: An Econometric Analysis on Field Experiment Data",https://sites.google.com/site/msimonbriere/research,OTHER
AEARCTR-0001674,Employment Retention and Advancement Project--Texas Site,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/33181,TIER2
AEARCTR-0001675,The Impact of Social Pressure on Charitable Giving in the United States,http://eml.berkeley.edu/~sdellavi/index.html,OTHER
AEARCTR-0001701,"Remedying Education: Evidence from two randomized experiments in India 
",https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/QIABTVDYCJ&amp;studyListingIndex=1_32787f682c4ae94e7cc302fdb35a,TIER1
AEARCTR-0001702,Can Informational Campaigns Raise Awareness and Local Participation in Primary Education in India?,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/13084&amp;studyListingIndex=0_9a58e7e25d9ca74ae19ff8637295,TIER1
AEARCTR-0001703,Does Knowledge of Constitutional Principles Increase Support for Civil Liberties in the United States?,http://isps.yale.edu/research/data/d035#.UwuBhoVnjJZ,OTHER
AEARCTR-0001747,Social Networks and the Decision to Insure in China,https://www.aeaweb.org/articles?id=10.1257/app.20130442,OTHER
AEARCTR-0001748,Nudging Farmers to Use Fertilizer: Experimental Evidence from Kenya,https://www.aeaweb.org/articles?id=10.1257/aer.101.6.2350,OTHER
AEARCTR-0001750,Rates of Return to Fertilizer: Evidence from Field Experiments in Kenya,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/19699&amp;studyListingIndex=0_54dc4a5abeff3c10bd851427baca,TIER1
AEARCTR-0001752,Xenophobia and Social Desirability: MTurk Online Survey,http://doi.org/10.3886/E119846V1,TIER2
AEARCTR-0001753,Efficiency and Rent Seeking in Local Government in India,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/USBFNOMLAT,TIER1
AEARCTR-0001788,Price and Control Elasticities of Demand for Savings in the Philippines,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/STTNUF,TIER1
AEARCTR-0001812,Finding Missing Markets: An Agricultural Brokerage Intervention in Kenya,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/PES3RD,TIER1
AEARCTR-0001814,Bank-Insured RoSCA for Microfinance: Experimental Evidence in Poor Egyptian Villages,http://erfdataportal.com/index.php/catalog/45,OTHER
AEARCTR-0001832,Increasing students' aspirations: the impact of a role model on students' educational attainment ,https://doi.org/10.7910/DVN/RU4RS0,TIER1
AEARCTR-0001836,Impact of disbursing microfinance loans on mobile money accounts,https://www.openicpsr.org/openicpsr/project/194886/version/V2/view,TIER2
AEARCTR-0001839,National Evaluation of Welfare-to-Work Strategies (NEWWS),https://aspe.hhs.gov/national-evaluation-welfare-work-strategies-restricted-access-and-public-use-data,OTHER
AEARCTR-0001842,Voting to Tell Others,http://eml.berkeley.edu/~sdellavi/index.html,OTHER
AEARCTR-0001846,Clinical Decision Support (CDS) for Radiology Imaging: A Randomized Control Trial,https://doi.org/10.7910/DVN/BRKDVQ,TIER1
AEARCTR-0001854,Research as Leisure: Experimental Evidence on Voluntary Contributions to Science,https://library.ucsd.edu/dc/object/bb70016196,OTHER
AEARCTR-0001856,When Castes Collide: A Field Experiment in India,https://www.openicpsr.org/openicpsr/project/128201/version/V1/view,TIER2
AEARCTR-0001866,Preferences of Low-Income Voters on Public Education Spending in Brazil,http://onlinelibrary.wiley.com/store/10.1111/jeea.12174/asset/supinfo/jeea12174-sup-0001-SuppMat.zip?v=1&amp;s=837f964330d9ef426e60097bfc162dc2024030af,TIER2
AEARCTR-0001876,The Effect of Academic Achievement Awards on College Success in Canada,"http://economics.mit.edu/faculty/angrist/data1/data/angrist,",OTHER
AEARCTR-0001893,Limited Insurance Within the Household in Kenya,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/0QZA4C,TIER1
AEARCTR-0001913,The Case of College Coaching in the United States,https://www.aeaweb.org/articles?id=10.1257/app.20150530,OTHER
AEARCTR-0001930,"Conditional Subsidies for School Attendance (“Subsidios
Condicionados a la Asistencia Escolar”) in Bogota, Colombia",https://www-aeaweb-org.ezp-prod1.hul.harvard.edu/aej/app/data/2010-0132_data.zip,OTHER
AEARCTR-0001961,Dynamic Agricultural Tablet-based Extension Services: Electronic solutions against agricultural pests intervention (eSAP),https://reshare.ukdataservice.ac.uk/853079/,OTHER
AEARCTR-0001964,Reading the Fine Print: Credit Demand and Information Disclosure in Brazil,http://pubsonline.informs.org/doi/suppl/10.1287/mnsc.2015.2281,TIER2
AEARCTR-0001973,"Does Corruption Information Inspire the Fight or Quash the Hope? A Field Experiment in Mexico on Voter Turnout, Choice, and Party Identification",http://campuspress.yale.edu/anadelao/files/2010/11/Replication-files-24ft7wz.zip,OTHER
AEARCTR-0001975,National Supported Work Demonstration,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/7865,TIER2
AEARCTR-0001984,Are High-Quality Schools Enough to Increase Achievement Among the Poor? Evidence from the Harlem Children’s Zone,http://www.aeaweb.org/aej/app/data/2010-0191_data.zip,TIER1
AEARCTR-0001994,"Islamophobia, Legitimacy and Social Desirability: MTurk Online Survey",http://doi.org/10.3886/E119846V1,TIER2
AEARCTR-0002028,Legitimacy And Social Desirability: MTurk Online Survey,http://doi.org/10.3886/E119846V1,TIER2
AEARCTR-0002050,Minnesota Family Investment Program,http://www.mdrc.org/available-public-use-files#bookmark5,OTHER
AEARCTR-0002055,Jobs First,http://www.mdrc.org/available-public-use-files#bookmark4,OTHER
AEARCTR-0002058,Welfare Restructuring Project,http://www.mdrc.org/available-public-use-files#bookmark3,OTHER
AEARCTR-0002069,Family Transition Program,http://www.mdrc.org/available-public-use-files#bookmark6,OTHER
AEARCTR-0002084,Working toward Wellness,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/33782,TIER2
AEARCTR-0002087,Transitional Work Corporation/Success Through Employment Preparation,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/33784,TIER2
AEARCTR-0002130,Estimating the Demand for Entrepreneurship Programs: Experimental Evidence from Jamaica.,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2TW2XG,TIER1
AEARCTR-0002153,ICT-mediated agricultural knowledge transfer in Uganda: What works?,https://github.com/bjvca/maizeUG/blob/master/endline/data/endline.csv,TIER1
AEARCTR-0002218,Messaging and Low-income Solar Adoption,https://github.com/MartenOvaere/Self_Interest_Attracts_More_Sunlight,TIER1
AEARCTR-0002221,Management and energy efficiency in a Chinese manufacturing cluster,https://doi.org/10.7910/DVN/AWLTYI,TIER1
